"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8"
"1","govern","war","world","law","time","will","peopl","countri"
"2","state","great","peac","upon","year","nation","free","duti"
"3","power","secur","new","shall","now","can","nation","may"
"4","right","public","america","execut","day","must","men","shall"
"5","unit","countri","american","congress","man","everi","equal","public"
"6","union","necessari","freedom","parti","come","one","life","great"
"7","constitut","use","work","constitut","first","citizen","human","best"
"8","preserv","industri","let","question","futur","make","liberti","confid"
"9","institut","forc","know","may","histori","good","justic","honor"
"10","limit","revenu","hope","subject","presid","never","spirit","support"
